City,Location,URL
Kolkata,Nehru Children's Museum,"https://www.google.com/maps/place/Nehru+Children's+Museum/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02771160347adf:0x946d17c4c9f64b95!8m2!3d22.5423249!4d88.3472145!9m1!1b1!16s%2Fg%2F1trpp66t?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Birla Industrial & Technological Museum,"https://www.google.com/maps/place/Birla+Industrial+%26+Technological+Museum/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0276d8ed9bd11d:0xa5cd1cbc481fa477!8m2!3d22.534805!4d88.3637261!9m1!1b1!16s%2Fm%2F0bxzqwq?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,"Nandan, West Bengal Film Centre & Academy of Fine Arts & Rabindra Sadan","https://www.google.com/maps/place/Nandan/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02773d082e49c5:0x696d25c1090aa5bc!8m2!3d22.5423054!4d88.3456183!9m1!1b1!16s%2Fg%2F1td1bvcl?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Sarat Chandra Chattopadhyay Kuthi,"https://www.google.com/maps/place/Sarat+Chandra+Chattopadhyay+Kuthi/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02990e288910c7:0x185df446b215a812!8m2!3d22.4749764!4d87.9069348!9m1!1b1!16s%2Fm%2F0j621tm?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Kolkata Centre for Creativity,"https://www.google.com/maps/place/Kolkata+Centre+for+Creativity+(KCC)/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0276aa19e345dd:0x9525ff2bb1c91c7c!8m2!3d22.5219503!4d88.4008831!9m1!1b1!16s%2Fg%2F11hbvtvn3p?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Kalighat Mandir Shaktipeeth,"https://www.google.com/maps/place/Kalighat+Mandir/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02774a41c0aeeb:0xd9189505f51dd4f!8m2!3d22.5202798!4d88.3420877!9m1!1b1!16s%2Fg%2F11bc5n1d7d?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,St. Paul Cathedral Church,"https://www.google.com/maps/place/St.+Paul's+Cathedral/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02771442588f31:0x646622ccc71971e5!8m2!3d22.5442706!4d88.3466532!9m1!1b1!16zL20vMGM0M184?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Dakshineswar Temple,"https://www.google.com/maps/place/Dakshineswar+Kali+Temple/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x39f89d03ddd97829:0xffa380efed305d4c!8m2!3d22.6549345!4d88.3577424!9m1!1b1!16zL20vMDU0MHhf?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Belur Math,"https://www.google.com/maps/place/Belur+Math/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x39f89d73bcbb31eb:0x9e346e968d3e4219!8m2!3d22.6326565!4d88.3563815!9m1!1b1!16zL20vMDV2emR5?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Nakhoda Masjid,"https://www.google.com/maps/place/Nakhoda+Masjid/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0277b1b0c0b993:0x2d436551231224e9!8m2!3d22.577457!4d88.3562588!9m1!1b1!16s%2Fm%2F09gf6sx?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,"Birla Mandir, Kolkata","https://www.google.com/maps/place/Birla+Mandir/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0276d84e393b85:0xfb1305bfeaf24335!8m2!3d22.5304872!4d88.3650212!9m1!1b1!16s%2Fm%2F04cxs5s?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Pareshnath Jain Temple kolkata,"https://www.google.com/maps/place/Parasnath+Digambar+Jain+Temple+-+Belgachia/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a027618ad3333e3:0xd712437f836936d3!8m2!3d22.6061003!4d88.3828953!9m1!1b1!16s%2Fg%2F12xpvz10p?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,ISKCON Kolkata Sri Sri Radha Govinda Temple,"https://www.google.com/maps/place/ISKCON/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02779898c72db1:0xb7ca25edf2759887!8m2!3d22.543685!4d88.3536524!9m1!1b1!16s%2Fg%2F11h2m80swn?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Gurdwara Sant kutiya,"https://www.google.com/maps/place/Gurdwara+Sant+Kutia/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a02773f9b272a79:0xe305f55bc700b62a!8m2!3d22.5379144!4d88.3441782!9m1!1b1!16s%2Fg%2F12hvgn3r0?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,"(Bandel Church) The Basilica of the Holy Rosary, Bandel","https://www.google.com/maps/place/The+Basilica+of+the+Holy+Rosary,+Bandel+(Bandel+Church)/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x39f89397aaaaaaab:0x2a51ec0ed2f37c2a!8m2!3d22.9194271!4d88.3955073!9m1!1b1!16s%2Fm%2F0289qk1?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Hooghly Imambara,"https://www.google.com/maps/place/Hooghly+Imambara/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x39f893f839cc5d37:0x545c017c6b34b306!8m2!3d22.9084224!4d88.3998853!9m1!1b1!16s%2Fm%2F0hzrsc5?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Netaji Subhash Chandra Bose International Airport,"https://www.google.com/maps/place/Netaji+Subhash+Chandra+Bose+International+Airport/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x39f89faa59df6903:0xdb1444043648b83!8m2!3d22.653564!4d88.4450847!9m1!1b1!16zL20vMDNnXzQ5?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,Babughat Bus Stand,"https://www.google.com/maps/place/Babughat+Bus+Stand/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a027775ffaffb0d:0xe2bdda6670f27a2b!8m2!3d22.5652255!4d88.3396295!9m1!1b1!16s%2Fg%2F11dyqrmdk1?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Kolkata,"Indian Botanic Garden, Acharya Jagadish Chandra Bose","https://www.google.com/maps/place/Acharya+Jagadish+Chandra+Bose+Indian+Botanic+Garden/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3a0279ae23edafd3:0xec67a59b84a6a36a!8m2!3d22.5586871!4d88.2911207!9m1!1b1!16zL20vMGJta2d0?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
