City,Location
Goa,Salim Ali Bird Sanctuary
Goa,Tropical Spice Plantation
Goa,Sahakari Spice Farm
Goa,Bondla Wildlife Sanctuary
Hyderabad,Rajiv Gandhi International Airport
Hyderabad,Jubilee Bus Station (JBS)
Hyderabad,Secunderabad Junction
Hyderabad,Mahatma Gandhi Bus Station (MGBS)
Hyderabad,Hyderabad Deccan (Nampally) Railway Station
Hyderabad,Kacheguda Railway Station
Hyderabad,Charminar
Hyderabad,Chowmahalla Palace
Hyderabad,Golconda Fort
Hyderabad,Qutub Shahi Tombs
Hyderabad,Bhuvanagiri Fort
Hyderabad,Buddha statue in Hussain Sagar
Hyderabad,B.M. Birla Science Center
Hyderabad,Telangana State Archaeology Museum
Hyderabad,Shilparamam
Hyderabad,Salar Jung Museum
Hyderabad,The Nizam's Museum
Hyderabad,Ramoji Film City
Hyderabad,Kalakriti Art Gallery
Hyderabad,Falaknuma Palace
Hyderabad,Sri Chilkur Balaji Temple
Hyderabad,Sri Peddamma Talli Temple
Hyderabad,"Sri Jagannath Mandir, Banjara Hills"
Hyderabad,Birla Mandir
Hyderabad,"Gurudwara Saheb, Ameerpet"
Hyderabad,ISKCON - Sri Sri Radha Madan Mohan Temple
Hyderabad,St Joseph's Cathedral
Hyderabad,Makkah Masjid
Hyderabad,Keesaragutta Sri Rama Lingeshwara Swamy Temple
Hyderabad,Yadadri Sri Lakshmi Narasimha Swamy Devastanam
Hyderabad,C.S.I All Saints' Church
Hyderabad,C.S.I Medak Cathedral
Hyderabad,Shri Shirdi Sai Baba Sansthan Trust
Hyderabad,Shri Ashtalakshmi Temple
Hyderabad,Sri Karmanghat Hanuman Devastanam
Hyderabad,Sri Bhramaramba Mallikarjuna Swamy varla Devasthanam
Hyderabad,Kanha Shanti Vanam
Hyderabad,Sanghi Temple
Hyderabad,Osman Sagar
Hyderabad,Himayat Sagar Lake
Hyderabad,Nehru Zoological Park
Hyderabad,Sri Kotla Vijaybhaskar Reddy Botanical Garden
Hyderabad,Gandipet Landscape Park
Hyderabad,Durgam Cheruvu Secret Lake
Hyderabad,Lumbini Park
Hyderabad,NTR Gardens
Hyderabad,Sanjeevaiah Children's Park
Hyderabad,Indira Park
Hyderabad,Safilguda Lake Park
Hyderabad,Shamirpet lake Deer Park
Hyderabad,Kasu Brahmanandha Reddy National Park (KBR)
Hyderabad,Lotus Pond
Hyderabad,Krishna Kanth Park
Jaipur,Jaipur International Airport
Jaipur,Sindhi Camp Bus Station
Jaipur,Jaipur Junction
Jaipur,Gandhi Nagar Railway Station
Jaipur,Durgapura Railway Station
Jaipur,(NSC) Narayan Singh Circle Bus Stand 
Jaipur,Hawa Mahal
Jaipur,Amber Palace
Jaipur,Jantar Mantar
Jaipur,The City Palace
Jaipur,Jaigarh Fort
Jaipur,Nahargarh Fort
Jaipur,Jal Mahal (Man Sagar Lake)
Jaipur,Gaitor Ki Chhatriyan
Jaipur,Patrika Gate (Jawahar Circle)
Jaipur,Bhangarh Fort
Jaipur,Panna Meena ka Kund
Jaipur,Chand Baori
Jaipur,Shakambari Jheel
Jaipur,Jhalana Leopard Safari Park
Jaipur,Central Park
Jaipur,Amar Jawan Jyoti
Jaipur,Kanak Vrindavan Park
Jaipur,Sisodia Rani ka Bagh & Vidyadhar Bagh
Jaipur,Nahargarh Biological Park
Jaipur,Birla Mandir
Jaipur,"Govind Dev Ji Temple, Thikana mandir"
Jaipur,Moti Dungri Ganesh Ji Temple
Jaipur,Galta Ji Temple (Monkey Temple)
Jaipur,Shree Khole Ke Hanuman Ji Temple
Jaipur,"Jain Temple Sanghi Ji, Sanganer ."
Jaipur,Shri Guru Singh Sabha Gurudwara
Jaipur,Shri garh ganesh ji temple
Jaipur,"ISKCON Temple, Jaipur"
Jaipur,Shri Jagat Shiromani ji Temple
Jaipur,Chulgiri Jain Thirth
Jaipur,Mehandipur Balaji
Jaipur,Albert Hall Museum
