place_name,place_url,reviews_count,scraped_on
Mehrauli Archaeological Park,"https://www.google.com/maps/place/Mehrauli+Archeological+Park+Walk/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390d1e035c47ce23:0x2c919deeead57752!8m2!3d28.5202041!4d77.187679!9m1!1b1!16s%2Fg%2F12623blxc?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:50:51
Dargah Nizamuddin Aulia,"https://www.google.com/maps/place/Dargah+Hazrat+Nizamuddin+Aulia/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce31d55287ca3:0x79e0b03d96a8efe8!8m2!3d28.591358!4d77.2419427!9m1!1b1!16zL20vMGIxdmht?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:51:37
Lotus Temple,"https://www.google.com/maps/place/Lotus+Temple/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce3c16e028cd1:0x653beb1ee85ec67a!8m2!3d28.553492!4d77.2588264!9m1!1b1!16s%2Fm%2F03bx9s0?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:52:18
Hanuman Mandir Karol bagh,"https://www.google.com/maps/place/Hanuman+Mandir+Karol+bagh/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390d029da94bf9d9:0xda267c5baef74594!8m2!3d28.6449461!4d77.1980195!9m1!1b1!16s%2Fg%2F11cn8pr65y?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:53:00
Gurudwara Sri Bangla Sahib,"https://www.google.com/maps/place/Gurdwara+Bangla+Sahib/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390cfd9eccc07d2d:0x6db044e71b8e8e3b!8m2!3d28.6258652!4d77.2089518!9m1!1b1!16zL20vMDRfMWtz?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:53:42
Shri Laxmi Narayan Temple (Birla Mandir),"https://www.google.com/maps/place/Shri+Laxmi+Narayan+Temple+(Birla+Mandir)/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390cfcbaaa7edb15:0x2d2dc76b52aa7f6e!8m2!3d28.6326666!4d77.1989963!9m1!1b1!16zL20vMDg4MWNr?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:54:25
Tibetan Monastery (Majnu ka tila),"https://www.google.com/maps/place/Tibetan+Monastery+(Majnu+ka+tila)/@28.7010587,77.2254663,17z/data=!4m8!3m7!1s0x390cfdc595555555:0x941558b867f70841!8m2!3d28.701054!4d77.2280412!9m1!1b1!16s%2Fg%2F11dfgndybm?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:55:06
"National Science Centre, Delhi","https://www.google.com/maps/place/National+Science+Centre/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce32612bb031b:0xf13c5aadf7760be0!8m2!3d28.6131368!4d77.2453837!9m1!1b1!16s%2Fm%2F07k4w4v?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:55:48
National Crafts Museum & Hastkala Academy,"https://www.google.com/maps/place/National+Crafts+Museum+%26+Hastkala+Academy/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390ce327db3380b7:0xa15ac51bd91a02!8m2!3d28.6136111!4d77.2425!9m1!1b1!16s%2Fm%2F06w5wns?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:56:31
Shankar's International Dolls Museum,"https://www.google.com/maps/place/Shankar's+International+Dolls+Museum/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x390cfcd5ea352d83:0xe294c26166ab74eb!8m2!3d28.6304668!4d77.2414695!9m1!1b1!16zL20vMDVuZnB0?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:57:19
