MongoDB_Location,AppSheet_Location
"National Museum, New Delhi","National Museum, New Delhi"
National Rail Museum,National Rail Museum
Sulabh International Museum Of Toilets,Sulabh International Museum Of Toilets
Sanskriti Kendra,Sanskriti Kendra
"Indira Gandhi Memorial Museum, Delhi","Indira Gandhi Memorial Museum, Delhi"
Nehru Planetarium,Nehru Planetarium
Prime minister Museum & Library,Prime minister Museum & Library
Museum of Illusions,Museum of Illusions
National Zoological Park,National Zoological Park
Okhla Bird Sanctuary,Okhla Bird Sanctuary
Central Ridge Forest,Central Ridge Forest
Lodhi Garden,Lodhi Garden
Sanjay Van,Sanjay Van
The Garden of Five Senses,The Garden of Five Senses
Indraprastha Park,Indraprastha Park
Nehru Park,Nehru Park
Dabolim Airport (Goa International Airport),Dabolim Airport (Goa International Airport)
Vasco da Gama Railway Station,Vasco da Gama Railway Station
Madgaon Junction,Madgaon Junction
Karmali Railway Station,Karmali Railway Station
Mopa Airport (Manohar International Airport),Mopa Airport (Manohar International Airport)
Thivim Railway Station,Thivim Railway Station
Panjim Bus Stand,Panaji Bus Stand
Mapusa Bus Stand,Mapusa Bus Stand
Morjim Beach,Morjim Beach
Vagator Beach,Vagator Beach
Anjuna Beach,Anjuna Beach
Baga Beach,Baga Beach
Calangute Beach,Calangute Beach
Colva Beach,Colva Beach
Palolem Beach,Palolem Beach
Chapora river,Chapora river
Mandovi River,Mandovi River
Zuari River,Zuari River
Salaulim Dam,Salaulim Dam
Dudhsagar Falls,Dudhsagar Falls
Harvalem Waterfalls,Harvalem Waterfalls
Dolphin point,Dolphin point
Immaculate Conception Church,Immaculate Conception Church
 Se Cathedral & Church of St. Francis of Assisi,Church of St. Francis of Assisi
Basilica of Bom Jesus,Basilica of Bom Jesus
Shree Mangesh temple,Shree Mangesh temple
Shree Shantadurga Temple,Shree Shantadurga Mandir
Aguada Fort,Aguada Fort
Chapora Fort,Chapora Fort
Reis Magos Fort,Reis Magos Fort
Cabo de Rama Fort,Cabo de Rama Fort
Goa State Museum,Goa State Museum
Archaeological Museum of Goa,Archaeological Museum of Goa
Goa Chitra Museum,Goa Chitra Museum
Indian Naval Aviation Museum,Indian Naval Aviation Museum
Museum Of Goa,Museum Of Goa
Casino on cruise,Casino on cruise
Tito's Lane,Tito's Lane
Anjuna flea market,Anjuna flea market
Cotigao Wildlife Sanctuary,Cotigao Wildlife Sanctuary
Mollem National Park & Bhagwan Mahavir Wildlife Sanctuary,Mollem National Park & Bhagwan Mahavir Wildlife Sanctuary
Salim Ali Bird Sanctuary,Salim Ali Bird Sanctuary
Tropical Spice Plantation,Tropical Spice Plantation
Sahakari Spice Farm,Sahakari Spice Farm
Bondla Wildlife Sanctuary,Bondla Wildlife Sanctuary
Rajiv Gandhi International Airport,Rajiv Gandhi International Airport
Jubilee Bus Station (JBS),Jubilee Bus Station (JBS)
Secunderabad Junction,Secunderabad Junction
Mahatma Gandhi Bus Station (MGBS),Mahatma Gandhi Bus Station (MGBS)
Hyderabad Deccan (Nampally) Railway Station,Hyderabad Deccan (Nampally) Railway Station
